URL,Size,OutLinks,ContentType,,
https://www.c-span.org/search/?personid%5B%5D=2249&searchtype=Videos&tagid%5B%5D=275,81425bytes,98,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=19843&personid%5B%5D=2249&searchtype=Videos,51613bytes,59,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=688073&personid%5B%5D=2249&searchtype=Videos,55796bytes,63,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fperson%2F%3Fricksantorum02,36259bytes,56,text/html,,
https://www.c-span.org/search/?personid%5B%5D=36788&searchtype=Videos,75324bytes,96,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26seriesid%255B%255D%3D91%26sort%3DTrending,36375bytes,57,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=669722&personid%5B%5D=84765&searchtype=Videos,50543bytes,59,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fperson%2F%3Fmartinomalley,36256bytes,56,text/html,,
https://www.c-span.org/search/?personid%5B%5D=7309&searchtype=Videos,78359bytes,97,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=678387&personid%5B%5D=84765&searchtype=Videos,51424bytes,59,text/html,,
https://www.c-span.org/search/?personid%5B%5D=84765&searchtype=Videos&tagid%5B%5D=275,81988bytes,98,text/html,,
https://www.c-span.org/search/?personid%5B%5D=85599&searchtype=Videos,77454bytes,97,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2015&personid%5B%5D=84765&sdate=01%2F01%2F2015&searchtype=Videos&sort=Most%20Popular,78534bytes,97,text/html,,
https://www.c-span.org/person/?garyrichardherbert,39179bytes,87,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=76431&personid%5B%5D=84765&searchtype=Videos,69318bytes,83,text/html,,
https://www.c-span.org/search/?personid%5B%5D=84765&searchtype=Videos&tagid%5B%5D=5613,82045bytes,98,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2016&personid%5B%5D=84765&sdate=01%2F01%2F2016&searchtype=Videos&sort=Most%20Popular,58747bytes,67,text/html,,
https://www.c-span.org/search/?personid%5B%5D=3379&searchtype=Videos,77834bytes,97,text/html,,
https://www.c-span.org/search/?personid%5B%5D=84765&searchtype=Videos&sort=Newest,77889bytes,97,text/html,,
